Position,Artist,Streams,URL
1,Olivia Rodrigo,70530825,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,Ariana Grande,61969460,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,Bad Bunny,58949943,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,Billie Eilish,55746328,https://open.spotify.com/track/0psS4i5YooJrXfDnGvWRLi
5,The Weeknd,47487693,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,Pop Smoke,44314855,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Juice WRLD,43745686,https://open.spotify.com/track/43CIWpJaJHRcI4mUSjqgc2
8,Justin Bieber,42076199,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
9,Harry Styles,33829154,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
10,KAROL G,33272880,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
